T (Kelvin)	X (emu/mole)
6.75894759	0.001943788
7.875624314	0.002439168
7.855995231	0.002782023
8.990120028	0.002972643
8.977033973	0.003201213
9.529919812	0.00354414
9.508109719	0.00392509
10.6138814	0.004610944
11.71965307	0.005296799
13.37394857	0.006401771
14.98026187	0.008344832
18.34337809	0.009602402
19.44478775	0.010364447
19.42733968	0.010669206
20.53093035	0.011393156
21.09035921	0.011621798
23.34552275	0.012231609
25.04343843	0.012574681
28.83730398	0.016308496
31.67588749	0.016727905
34.51883301	0.017071123
36.21892971	0.017376101
38.49372233	0.017643056
40.19381902	0.017948034
43.04548858	0.018138872
45.90152016	0.018253521
51.0170773	0.018901789
55.02250075	0.018940393
57.29729337	0.019207349
59.57862902	0.019360019
63.58841448	0.019322433
67.01477997	0.019475249
71.02674644	0.019399568
71.60580439	0.019285356
72.75737726	0.019171216
77.33967765	0.019133703
79.6450044	0.018867329
83.09099897	0.018677291
195.0062159	0.013891502
299.4154895	0.010209522
