T	X (cm^3/mol)
2.243207544	0.01706823
3.948889174	0.038838931
5.363334495	0.05433967
7.868884037	0.066879594
10.6335651	0.073497887
13.11801721	0.078026193
15.59925884	0.08133534
18.07728999	0.083425327
20.82912913	0.085166983
23.03014181	0.086386142
25.7801464	0.087431136
30.72749454	0.088301964
35.67254949	0.088301964
40.61485259	0.08725697
45.55577978	0.08568948
50.49578969	0.083773658
60.64824157	0.079071187
70.52505091	0.074020384
90.28096278	0.064789607
110.3157277	0.05712632
130.3541617	0.050856358
150.1215396	0.045979721
170.1659359	0.041973912
