T	X (cm^3/mol)
2.338604634	0.053294676
4.02639931	0.068272919
5.428919995	0.079245352
8.195435616	0.086560308
10.67667725	0.089869454
13.1547084	0.091959442
15.63136363	0.093526932
18.10526702	0.094049429
20.57962905	0.094746091
23.32779908	0.095094423
25.52605992	0.095268588
30.47065622	0.095094423
35.41295933	0.094049429
40.35388651	0.092481939
45.56816306	0.090391951
50.50725568	0.088127798
60.65787301	0.082728664
70.53330643	0.077155365
90.28784237	0.067402091
110.3212314	0.059216307
130.3592067	0.05277218
150.1252087	0.047373046
170.1691464	0.043193071
