H	dM/dH
0.08363891	0.07353748
0.325038396	0.06886391
0.636674158	0.069364613
0.74125591	0.073149951
0.845837661	0.076935289
0.950596022	0.081629443
1.228195374	0.085109512
1.505794726	0.08858958
1.748837653	0.092373054
1.991954168	0.096535201
2.165771413	0.100344851
2.322315352	0.104331449
2.513494209	0.108418561
2.652735406	0.112430637
2.792006039	0.116594182
2.931291389	0.120833462
3.018624363	0.124921972
3.168559214	0.130524337
3.28025535	0.135294133
3.396478554	0.139609458
3.57333445	0.147180569
3.489374701	0.142637604
3.699200486	0.153616342
3.838441684	0.157628418
3.922536833	0.162868142
4.076174578	0.16971251
4.187920754	0.174739804
4.257936269	0.178778057
4.425506474	0.186066548
4.32767706	0.181402595
4.53725265	0.191093842
4.607268165	0.195132095
4.7816692	0.20194589
4.677008956	0.197756634
4.886623792	0.20764984
4.974020542	0.212066534
5.123981884	0.217805221
5.200771322	0.221075936
5.319346365	0.225618434
5.472783954	0.23143281
5.584326048	0.235409916
5.723415166	0.2386394
5.834949411	0.242576114
6.015879079	0.247360125
6.228000777	0.252340626
6.419194351	0.256503472
6.731330504	0.259579156
7.077105698	0.257630638
7.272547691	0.253967485
7.387201041	0.250204441
7.552539109	0.246006501
7.662440705	0.24154171
7.772428644	0.237521229
7.937616594	0.232550794
8.057739906	0.227247733
8.143581519	0.223661791
8.211992839	0.21944496
8.349600407	0.215050482
8.452519093	0.210277796
8.555550613	0.206085744
8.62409439	0.202550525
8.744364876	0.198004811
8.830196677	0.194368379
8.950393576	0.189443991
9.036181224	0.185580355
9.173891813	0.18171602
9.297432503	0.176185708
9.476348832	0.170609209
9.586376017	0.166790688
9.724145476	0.163229292
9.930983632	0.158833882
10.20719072	0.155149446
10.58748211	0.152690514
10.9339294	0.154200548
11.17683496	0.157277164
11.41991223	0.161237352
11.59368042	0.164794554
11.73308351	0.169639712
11.87245716	0.1743334
11.98854791	0.177967113
12.10964257	0.18360016
12.2213181	0.188263927
12.30862164	0.192200967
12.4585977	0.19801539
12.57025753	0.202598374
12.64032211	0.206889075
12.81482126	0.214207768
12.71011196	0.209766063
12.91980529	0.220063188
13.00716769	0.224303167
13.15709666	0.229875238
13.26872509	0.234296655
13.33870136	0.238132948
13.50612243	0.244653995
13.40842253	0.240656507
13.61768415	0.24873208
13.68769967	0.252770333
13.86181616	0.258119923
14.05325012	0.26351977
14.24438973	0.267404922
14.41830019	0.271694226
14.76489465	0.273961607
15.07586322	0.271029003
15.24802722	0.26633112
15.42014215	0.261380788
15.51139976	0.255977135
15.62615613	0.252744234
15.69454292	0.248401178
15.76300821	0.24446204
15.83146368	0.240472413
15.95166058	0.235548025
15.99124544	0.231432562
16.13334083	0.226381654
16.17396671	0.221685542
16.29751623	0.216200671
16.37966672	0.211433314
16.44811238	0.207393197
16.51675427	0.204362876
16.58529805	0.200827657
16.65374371	0.19678754
16.72218937	0.192747423
16.7906939	0.189010245
16.87296606	0.184868961
16.99650675	0.179338649
17.06486901	0.174869368
17.13335392	0.171031211
17.27094186	0.166535753
17.40837282	0.161232458
17.54593624	0.156610776
17.7182474	0.152670241
17.90789565	0.148880941
18.27068414	0.145417495
18.68624428	0.14632072
19.03293686	0.149092999
19.24137921	0.152952673
19.41515721	0.156560364
19.56822588	0.160476323
19.76343436	0.167486748
19.69333544	0.163019332
19.90282273	0.172256171
20.04210808	0.176495451
20.11223152	0.181089092
20.25155121	0.185505086
20.39091015	0.19012304
20.4957421	0.195195868
20.60039743	0.199359879
20.68775984	0.203599858
20.83772413	0.209353693
20.91470195	0.213593812
21.03334764	0.218499837
21.15912831	0.224496349
21.29848725	0.229114303
21.43779713	0.233479807
21.54247209	0.237744798
21.61236496	0.241151928
21.78622636	0.245188783
21.99464909	0.248947478
22.23780975	0.253336829
22.58437969	0.255477985
22.89536788	0.252646361
23.10231397	0.248806339
23.2123804	0.245189777
23.40541364	0.241006611
23.58436726	0.235621974
23.72199935	0.23135372
23.8595039	0.226429099
23.99689071	0.2208986
24.13433638	0.21567104
24.23747583	0.212034376
24.32310159	0.207337658
24.37437696	0.204004631
24.50512034	0.199913186
24.61500624	0.195367611
24.75249607	0.190367255
24.85532645	0.185140161
24.88925984	0.181630653
25.0268576	0.177185686
25.16425912	0.171730922
25.30189612	0.167487913
25.49136776	0.162789797
25.64629769	0.158470821
25.81859414	0.154454551
26.12933116	0.150330387
26.50965395	0.148033023
26.89095005	0.150744248
27.09940417	0.154664511
27.27337841	0.159281998
27.48192378	0.163671816
27.62809098	0.167698945
27.79508034	0.17199844
27.93439512	0.176389189
28.10153165	0.181446032
28.21297563	0.184918239
28.35222174	0.18895556
28.51950544	0.194769749
28.63126339	0.199857631
28.77060761	0.20439985
28.88220073	0.208639503
29.04919303	0.212954145
29.22315745	0.217521142
29.39721508	0.222567794
