T	XT
1.734104046	0.350120823
2.167630058	0.423838874
2.601156069	0.515973132
3.468208092	0.608160615
3.901734104	0.700294872
4.335260116	0.774012923
4.768786127	0.866147181
5.63583815	0.958334664
6.069364162	1.032052715
6.502890173	1.124186972
7.803468208	1.216427682
9.104046243	1.308668391
9.971098266	1.382439668
10.83815029	1.456210945
11.70520231	1.548398429
13.43930636	1.640692364
14.73988439	1.732933074
15.60693642	1.806704351
17.77456647	1.917467718
19.94219653	2.028231086
21.67630058	2.138941228
23.84393064	2.249704596
26.01156069	2.360467963
27.74566474	2.452761899
29.9132948	2.581941473
32.08092486	2.655872428
34.24855491	2.766635796
35.98265896	2.877345937
37.71676301	2.988056079
39.88439306	3.08040324
42.05202312	3.191166608
43.78612717	3.30187675
45.95375723	3.412640118
47.68786127	3.504934053
50.28901734	3.615750647
55.05780347	3.874163021
60.26011561	4.132628621
65.02890173	4.372624788
70.23121387	4.594257976
75	4.834254144
79.76878613	5.037417899
84.97109827	5.24063488
89.73988439	5.425382429
94.94219653	5.610183204
99.71098266	5.776514547
104.4797688	5.942845889
109.6820809	6.109230458
114.4508671	6.257145594
119.6531792	6.386697751
124.8554913	6.516249907
129.6242775	6.645748837
134.3930636	6.775247767
139.5953757	6.867967511
144.7976879	6.979103461
150	7.090239411
154.7687861	7.164489722
159.5375723	7.25715624
164.7398844	7.349875983
169.5086705	7.442542501
174.7109827	7.480013626
179.9132948	7.535900957
185.1156069	7.591788288
189.8843931	7.6660386
195.0867052	7.740342137
199.8554913	7.814592448
205.0578035	7.852063573
210.2601156	7.926367111
215.0289017	7.982201216
220.2312139	8.019672341
225	8.075506446
230.2023121	8.131393777
234.9710983	8.168811676
240.1734104	8.206282801
244.9421965	8.262116906
250.1445087	8.299588031
254.9132948	8.337005929
260.1156069	8.374477054
264.8843931	8.393478747
270.0867052	8.449366078
274.8554913	8.486783977
280.0578035	8.524255102
285.2601156	8.524893814
290.0289017	8.562311713
294.7976879	8.599729612
299.566474	8.618731304
