B (T) 	M (gµB)
0	0.0011011455
0.5	0.0056732697
1	0.019537308
1.5	0.050021055
2	0.09690912
2.5	0.15330357
3	0.21921795
3.5	0.30856329
4	0.43826391
4.5	0.63511371
5	0.79204356
5.5	0.89099262
6	0.95700717
6.5	1.0221624
7	1.08592974
7.5	1.14880815
8	1.2333447
8.5	1.32206886
9	1.41212484
9.5	1.5058953
10	1.58891607
10.5	1.66539177
11	1.72369008
11.5	1.77269967
12	1.81521396
12.5	1.85474835
13	1.88796384
13.5	1.91929437
14	1.9488483
14.5	1.97661555
15	2.00618019
15.5	2.03769027
16	2.06513622
16.5	2.09089818
17	2.1170583
17.5	2.14306407
18	2.17916937
18.5	2.22993099
19	2.30083308
19.5	2.38943061
20	2.4760638
20.5	2.56405716
21	2.64853575
21.5	2.7068013
22	2.7507753
22.5	2.78375958
23	2.8064862
23.5	2.82666258
24	2.84486769
24.5	2.8636146
25	2.88066429
25.5	2.89598778
26	2.9121687
26.5	2.92689684
27	2.94441588
27.5	2.96617482
28	2.99450088
28.5	3.02510439
29	3.05667432
29.5	3.09333402
30	3.13576578
30.5	3.17840229
31	3.223395
31.5	3.26773818
32	3.31094106
32.5	3.35261115
33	3.39130386
33.5	3.42817587
34	3.46276854
34.5	3.49687485
35	3.52644579
35.5	3.55454694
36	3.58106364
36.5	3.60793818
37	3.63071142
37.5	3.65130612
38	3.66965928
38.5	3.68680158
39	3.70277901
39.5	3.71572551
40	3.72581748
40.5	3.73662891
41	3.74632965
41.5	3.7555686
42	3.76441695
42.5	3.77416116
43	3.78281925
43.5	3.79159389
44	3.80106216
44.5	3.81103947
45	3.82140864
45.5	3.83195106
46	3.84030675
46.5	3.8493
47	3.86045604
47.5	3.86847846
48	3.87457308
48.5	3.87983799
49	3.88604349
49.5	3.890376
50	3.89230632
50.5	3.89691855
51	3.89998665
51.5	3.90371184
52	3.9063087
52.5	3.90883374
53	3.91267989
53.5	3.91565034
54	3.91791834
54.5	3.91648572
55	3.91811112
55.5	3.91822704
56	3.91763043
56.5	3.92342517
57	3.92682843
57.5	3.92962311
58	3.93988707
58.5	3.94389891
59	3.94471728
59.5	3.95039358
60	3.96051012
