dMdB (mu/T)	B (T)
0.182648402	0.108159393
0.730593607	0.144212524
1.278538813	0.212523719
1.643835616	0.277039848
2.191780822	0.316888046
2.678843227	0.35483871
3.226788432	0.445920304
3.652968037	0.612903226
4.261796043	0.884250474
4.687975647	0.721062619
5.235920852	0.489563567
5.662100457	0.356736243
6.270928463	0.347248577
6.697108067	0.345351044
7.184170472	0.341555977
7.549467275	0.421252372
8.158295282	0.442125237
8.706240487	0.45540797
9.254185693	0.464895636
9.680365297	0.425047438
10.2283105	0.39658444
10.71537291	0.326375712
11.20243531	0.286527514
11.75038052	0.261859583
12.23744292	0.244781784
12.72450533	0.220113852
13.21156773	0.214421252
13.63774734	0.210626186
14.18569254	0.203036053
14.67275495	0.208728653
15.28158295	0.220113852
15.70776256	0.203036053
16.25570776	0.193548387
16.80365297	0.19544592
17.22983257	0.20113852
17.71689498	0.239089184
18.14307458	0.29601518
18.69101979	0.371916509
19.29984779	0.44402277
19.7869102	0.438330171
20.3348554	0.445920304
20.76103501	0.432637571
21.24809741	0.324478178
21.73515982	0.271347249
22.22222222	0.223908918
22.70928463	0.185958254
23.25722983	0.170777989
23.74429224	0.163187856
24.29223744	0.159392789
24.77929985	0.157495256
25.26636225	0.142314991
25.81430746	0.15370019
26.30136986	0.14800759
26.78843227	0.159392789
27.21461187	0.180265655
27.76255708	0.20683112
28.24961948	0.212523719
28.73668189	0.227703985
29.28462709	0.240986717
29.7716895	0.263757116
30.2587519	0.261859583
30.74581431	0.271347249
31.35464231	0.269449715
31.78082192	0.261859583
32.32876712	0.25426945
32.81582953	0.24288425
33.36377473	0.237191651
33.85083714	0.223908918
34.27701674	0.227703985
34.76407915	0.20683112
35.25114155	0.20113852
35.79908676	0.191650854
36.22526636	0.197343454
36.83409437	0.178368121
37.38203957	0.170777989
37.80821918	0.163187856
38.29528158	0.159392789
38.78234399	0.15370019
39.33028919	0.142314991
39.7564688	0.125237192
