T	T*Chi
2.692998205	0.624003713
3.231597846	0.703815793
3.231597846	0.758237562
4.308797127	0.798133832
4.308797127	0.827158775
4.847396768	0.856177205
5.92459605	0.874304767
6.463195691	0.896066961
7.001795332	0.914201036
8.078994614	0.935956717
9.694793537	0.943193411
11.8491921	0.950423593
12.92639138	0.954038683
15.61938959	0.964890468
17.23518851	0.972127163
18.85098743	0.979363858
19.92818671	0.986607067
22.08258528	0.986581012
24.23698384	0.990183075
25.85278276	0.99741977
28.54578097	1.008271555
30.16157989	1.008252014
35.5475763	1.019071231
39.85637343	1.029903475
45.24236984	1.037094575
50.62836625	1.044285674
55.47576302	1.055111404
60.32315978	1.062309017
65.17055655	1.073134748
70.01795332	1.083960478
75.40394973	1.091151577
80.78994614	1.091086441
89.94614004	1.112744416
100.1795332	1.127133127
110.4129264	1.141521839
120.1077199	1.155917065
130.3411131	1.170305776
140.5745063	1.184694488
150.2692998	1.199089714
160.502693	1.213478425
170.1974865	1.227873651
179.8922801	1.224128287
190.6642729	1.260279192
199.8204668	1.271052814
210.5924596	1.285435012
220.2872531	1.307086473
229.9820467	1.321481699
240.2154399	1.33587041
250.448833	1.350259122
259.6050269	1.361032743
270.3770197	1.379043059
280.0718133	1.393438285
289.7666068	1.415089746
299.4614004	1.43311309
