T	X
1.607327305	6.247011952
1.644216784	5.758964143
2.242880331	4.838645418
2.82362613	4.155378486
3.388562154	3.6812749
3.946120281	3.304780876
4.497354497	3.011952191
5.043318788	2.788844622
5.587175109	2.593625498
5.600876916	2.412350598
6.67067181	2.258964143
7.209258205	2.133466135
7.746790615	2.021912351
8.28326904	1.924302789
8.291700921	1.812749004
8.826071376	1.743027888
9.890596345	1.65936255
9.896920255	1.575697211
12.03018613	1.352589641
14.16134404	1.157370518
16.28617804	1.045816733
18.41101204	0.934262948
20.53479205	0.836653386
22.12630958	0.780876494
24.2490356	0.697211155
26.36859968	0.655378486
27.95906322	0.613545817
30.6087818	0.557768924
35.37595649	0.488047809
40.67223171	0.418326693
45.43835241	0.362549801
50.20341913	0.320717131
55.49653239	0.292828685
60.25949114	0.278884462
65.02350387	0.250996016
69.78646262	0.237051793
75.60762242	0.22310757
80.37163515	0.195219124
90.42559919	0.1812749
100.4806172	0.153386454
110.0054807	0.139442231
120.5885453	0.125498008
130.1134088	0.111553785
140.1663189	0.111553785
150.2202829	0.097609562
160.2731929	0.097609562
170.327157	0.083665339
180.380067	0.083665339
190.4340311	0.069721116
199.9578406	0.069721116
210.5398512	0.069721116
220.5927612	0.069721116
230.6456713	0.069721116
240.1705348	0.055776892
250.2234448	0.055776892
259.7472544	0.055776892
270.8583655	0.055776892
280.383229	0.041832669
290.436139	0.041832669
299.9588946	0.055776892
