T	xT
1.587301587	11.25219711
2.116402116	11.53400293
2.645502646	12.06792739
3.174603175	12.49803829
3.703703704	12.91331869
4.232804233	13.23961603
4.232804233	13.56588721
5.291005291	14.05534631
5.291005291	14.33712597
5.82010582	14.52994873
6.349206349	14.73760201
6.878306878	14.91559427
7.407407407	15.07875602
7.936507937	15.24191777
8.465608466	15.3754185
9.523809524	15.52377589
9.523809524	15.62758945
10.05291005	15.76109019
12.16931217	16.05780498
13.75661376	16.33966311
16.4021164	16.47326847
17.98941799	16.57716049
21.16402116	16.65146997
23.28042328	16.63674409
25.3968254	16.6220182
28.04232804	16.59248797
30.15873016	16.56293158
34.92063492	16.50384495
40.21164021	16.42995397
45.5026455	16.35606298
50.26455026	16.31180686
55.02645503	16.29721176
60.31746032	16.29747332
65.60846561	16.3273959
70.37037037	16.34246181
75.13227513	16.35752773
80.42328042	16.3874503
90.47619048	16.4472693
100.5291005	16.53674932
110.5820106	16.61139883
120.1058201	16.68602218
130.1587302	16.76067169
140.2116402	16.8353212
150.2645503	16.90997071
160.3174603	17.01428123
170.3703704	17.0147782
180.4232804	17.05976669
190.4761905	17.11958569
200.5291005	17.17940469
210.5820106	17.22439318
220.1058201	17.2396945
230.1587302	17.28468299
240.2116402	17.34450199
250.2645503	17.35982946
260.3174603	17.38998745
270.3703704	17.42014543
280.4232804	17.46513392
290.4761905	17.4952919
300	17.52542373
